Tweet,Category
"[#NEW] Video: Casey Veggies Talks First Meeting With Jay-Z At 17 Years Old, Working Hard to Inspire the Youth http://t.co/3ETpyD7C9o Dec 15,",positive
"Jay-Z may bail out of Tidal investment: Jay-Z has significantly funded the ambitious streaming platform, howev... http://t.co/BP2rl3JOWQ",neutral
Meek Mill or 12 year old white boy that just discovered Jay-Z? The world may never know,neutral
Meek drooped like a Jay-z album the 2nd &amp; 3rd time you hear it. You will understand it and Fall in love with it,positive
"Jay-Z stole his whole 2nd verse from ""99 Problems"" from Bun B in the UGK song ""Touched"". Come on y'all listen to old hip hop.",negative
"1st it was ""Jay-Z's"" Tidal now it's Jay Z is trying to part ways with Tidal!! He need @DashDamon to help him with These Investments",neutral
Not Available,positive
Not Available,positive
"Roadblock: In the immortal words of Jay-Z: ""Whatever deity may guide my life, dear lord don't let me die tonight.... http://t.co/mnDysX2NKb",positive
Not Available,positive
Update: Mom does not appreciate Jay-Z. We have now moved on to bumpin old school Taylor Swift. Nearing the 5th hour.,neutral
"My gym is playing PMQs on the screens and BBC 1Xtra over the speakers, so I get to imagine Osborne and Theresa May rapping along to Jay-Z.",neutral
CRAZY IN LOVE by BEYONCE FEAT. JAY-Z was no.2 in the UK charts on 2 August 2003 https://t.co/rnU7AFDvUY,positive
"Would be crazy if Dr. Dre, Eminem, Jay-Z all show up at @Drake's #OVOFest tomorrow. Tonight it's @YG @BigSean @Jeremih @cody_macc @omen #OVO",positive
An i will bring my ass to NEW YORK IF I HAVE TO..  We going to sat that bitch off... Jay-z yall lost your fucking... http://t.co/iquQxxqxRI,neutral
"Jay-Z stole Bigs actual words damn near da 1st 8 bars on ""I just wanna love you"" (give it to me)  https://t.co/xss5q3AlZy",negative
My following may not be as big as Jay-Z's but I got a solid supportive growing following. Thanks for the love. #TeamM00Y0U,positive
the 1st dance at my wedding will actually just be a duet of Diamonds From Sierra Leone-Remix with my husband as Jay-Z and myself as Kanye.,positive
Aye now Meek may surprise us. You know when Jay-Z dropped Takeover they thought it was over for Nas. And then Ether......,positive
May the best of your today be the worse off your tomorrow - Jay-Z,positive
"#WEHO: @ChrisPipkinSC is leading the pack for a THE CARTERS: Lil Wayne, Beyonce, and Jay-Z ride Thursday at 5:30pm! Grab a bike!",positive
"If you pine for a time when Jay-Z didn't suck, then listen to Czarface. Esoteric, 1/3rd of the group, is a dead ringer for his voice.",neutral
August 5th is Work Like a Dog Day. Because sometimes you just have to do what you have to do. Jay-Z said it well: can't knock the hustle!...,neutral
Imagine if Ether had dropped in the social media age. We may not have the same respect we do for Jay-z today.,positive
3rd verse on 745 by Gucci the best diss verse period. He dissed Jay-Z &amp; Jeezy &amp; crushed that shit.,neutral
"I know it's old, but The Beatles, Jay-Z, Danger Mouse -- c'mon... Classic mix --... http://t.co/Q0ZwccX6Vi",positive
I grew up to this song..didn't knew the 2nd verse is about beyonce..until now.JAY-Z - Lost One ft. Chrisette Michele http://t.co/LYgSbix0Wp,positive
"The sun, earth, the Lakers, Jay-Z, Oprah, and 5 whoppers https://t.co/YxJH6KayOw",positive
#Prince announced that he is releasing an album with Jay-Z that is coming out on September 7th.  It will be featured on #Tidal.,neutral
Prince confirmed that he and Jay-Z will release an album September 7. #PaisleyPark  #Minneapolis,positive
St James Park randomly playing the instrumental for My 1st Song by Jay-Z at half time?  Decent.,positive
Not Available,neutral
"#people #celebrity Tidal is a Satanic Illuminati Plan to make more $$$ Jay-Z, Beyonce, ... http://t.co/TVxyB2kdXt http://t.co/F8s7OkbjFm",negative
1st Day of 7th Grade...even Jay-Z the wonder horse wanted to be involved. https://t.co/ymdZg8mA3u,neutral
Not Available,negative
#DALE: Get set to battle it out! @JoRuffin88 is dropping the beat for a Kanye Vs. Jay-Z ride tomorrow at 630pm! Grab a bike!,neutral
Not Available,positive
Personally handing Jay-Z jerseys may be the highlight of my New York existence. First time I've been star struck.,positive
Not Available,positive
"Jay-Z and Beyonce came to Taylor's 25th but not Kim and Kanye's wedding. Imma let Taylor finish, but she had the best birthday of all time.",positive
#FridayFun! Jay-Z's got that Friday feeling - http://t.co/2uGbXgEASI  Have you?,positive
"Who Belong In the 3rd spot for top 3 of all time. Jay-Z, Nas or Eminem?",positive
Make a lasting impression on the first day of class tomorrow: walk in with a boom box blaring Public Service Announcement by Jay-Z,positive
"Enjoying how the Jay-Z vs. Abdel Halim Hafez lawsuit forces serious newspapers to put ""Big Pimpin'"" in headlines. http://t.co/WCBHI8g4ws",positive
Jay-Z make time for Bey.. The President make time for the 1st lady. So where are you so busy at again?,negative
"Song Cry x Jay-Z is one of my favorite songs, don't screw over the one that's been dsd1 no matter what changes life may bring, just don't.",neutral
@insanityreport @rodimusprime there's no middle ground with her though. Her Jay-z insights used to veer off into the 3rd testicle range,negative
Just to see a bitch that looks like Jay-Z? Got me fucked up on the 7th level of hell.,negative
"Jay-Z: Can I get a Fuck You? Jay-Z's Dad: I don't know, CAN you? Jay-Z: MAY I get a Fuck You? Jay-Z's Dad: No, it's supper time. Go wash up.",neutral
"Sept 11, 2001-  Good: Jay-Z drops the best rap album of the decade (The Blueprint)  Bad: World Trade Center gets destroyed   #MindBlown",positive
Dreamed I was @Beyonce and I spent the night making out with Jay-Z at a Lower East Side rooftop party until the sun came up.,positive
@BrittDTaylor the 2nd one makes me feel like I'm touring the home of a Jay-Z impersonator,neutral
"When Jay-Z said, ""Thirty-eight revolve like the sun round the Earth"" http://t.co/WxW2bOLCEl",neutral
"Nah, but Vol. 1 might be my 3rd favorite Jay-Z album but it has some shit tracks",neutral
My nigga @Lightshow10thPL sat down with Jay-Z's right hand man on a rooftop in the city. I'm rootin' for youngin'. Straight up!,positive
"""The best part of living in New York is the nightlife. The 2nd best part is knowing that Jay-Z and Beyonce share the same weather as me.""",positive
@SeaGlass4Nicole Today was a Jay-Z type of the day. Who knows what tomorrow will bring?,positive
"What's stopping Jay-Z, Puffy, 50 Cent, Lil Wayne from doing the same if they haven't already? @TotalMusicSnobs  https://t.co/YMJLbArKU5",negative
Beyonce 33 &amp; Jay-z 45. im not even stressing nomore future bae probly in the 5th grade playing freeze tag,neutral
@tomwarren I don't know. She just recited Jay-Z to me. This may have yours beat for best reply. http://t.co/uLSBcnt92v,neutral
"@JKailli Although you may know this better than I do since you're from California lol I'm not knocking Jay-Z view in black culture, I say",positive
Not Available,neutral
"""We make a million of beats, cause our stories is deep. And fuck tomorrow, as long as the night before was sweet."" - Jay-Z",positive
"Only looking forward to Kanye's performance at the VMA's tomorrow! Heard he's bringing out Rih, Bey, Jay-z &amp; Paul McCarthy",positive
I was certainly not expecting @JColeNC to bring @Drake and Jay-Z to the Ville.  I may have dropped a tear or two.  Greatest show ever!,positive
"""See baby photos of Blue Ivy Carter, the daughter of Beyonce and Jay-Z,"" - Huffington Post https://t.co/i8uyzsulTu",neutral
"If Kanye became President, folk that wrote off the masonic/illuminati symbols in he and Jay-Z's music/vids as meaningless, may think again!",positive
Jay-Z may have his big companies... And Beyonce but that doesn't amount  to what Nas has done for the world and the people.,neutral
"Today during 6th it was dead silent in the library &amp; all of a sudden my iPad started blasting Jay-Z's voice saying ""Motherfucker I got this""",positive
"Also the correct Top 5 is Eminem, Jay-Z, 2Pac, The Notorious B.I.G., and Ice Cube in that order with Big Pun as the 6th man",positive
Beyonce is 33 and jay-z is 45. So i ain't even stressing anymore. Bae is probably chilling in the 5th grade playing freeze tag.,neutral
Jay-Z sat in that Interview like a God showing that he was truly ahead of his time while the other niggas flirting with Foxy Brown,positive
I knew Jay-z was getting old but I forgot about Eminem. He looks 30 something! https://t.co/fFCMZvL6l9,positive
Beyonce: has an album called 4 got married on the 4th Jay-Z's b'day's on the 4th got a 4 tattoo  WHY DO PEOPLE THINK SHE WAS BORN ON THE 3RD,neutral
"I don't know much about algebaaaa,but I know today it's the 4th and it happens to be Jay-Z's wife's BDay.",neutral
Not Available,positive
"@MsTosciMarie Not really and I'm a huge Jay-Z fan. But, when March 9th come around? Biggie all day everyday",positive
Not Available,neutral
"happy bday to the amazing @beyonce #Beyday big love to you, Jay-Z and Blue Ivy. may ur family continue to amaze this world. loves x",positive
The game 1st album 1 song he say he rap like Eazy-E then Nas then 50 cent then dr Dre then Jay-Z then Eazy-E again then like his dead bro,positive
Not Available,positive
The day Jay-z comes to S.A I'll be the 1st person to cue  at the computicket  I love that man,positive
#NowPlaying December 4th by Jay-Z from the album: The Black Album,neutral
.@jimmyfallon I think you should get .@taylorswift13 as guest against Colberts 1st show.   He starts with Jeb Bush really? #baddecisions,negative
@realDonaldTrump When was the last time a front runner was asked about a 3rd party run? The media should be asking Jeb Bush that question!,neutral
.@StephenAtHome  #baddecisions You make me not want to watch your show(s) by having Jeb BUSH as 1st show guest @CBS @JulieChen #NOCOLBERT,negative
@jimmykimmel Bring the HEAT. Get TOP draw guests against Colbert 1st week. 1st guest on Colbert = Jeb Bush - really? awful,neutral
"#Apology to Jeb Bush for John Dempsey for picking ""Boring"" as the 1st word he thinks of to describe him.",neutral
"Why in the world is Jeb Bush embracing Eric Cantor?: The answer may be simple: ""Why not?"" http://t.co/4JqWU20DEG",neutral
"@marklevinshow presented summation of costs that may be associated w/ building ""wall"" on the southern border. WAY less than Jeb Bush stated",neutral
Jeb Bush's ad blitz begins Sept 15th in the early primary states. http://t.co/hKBjJ3fTcV No poll movement by October? Donors might squirm.,negative
".@Olivianuzzi Eric Cantor, who evidently wants Jeb Bush to lose the nomination, will endorse Jeb Bush on Thursday http://t.co/JoVLVrgPI2",negative
"@washingtonpost Hey Jeb Bush, first thing you need to remember is that you're actually running in a primary. 2nd primary voters are nuts.",negative
new chris christie SuperPAC ad may be the most boring political ad ever produced. comparable to transforming cosmo kramer into jeb bush,neutral
Hillary upset Biden may run; Jeb Bush upset Trump is leading in the polls; both had family in the W.H. both feeling entitled to be next,negative
Not Available,negative
"Both Jeb Bush and Lindsey Graham want to be the 1st ""Matronly"" POTUS!",neutral
Jeb Bush also took in some hard cash in the Hamptons on Saturday https://t.co/aDFNIPzue6 via @prwatch,neutral
"Politico reports 3 top Jeb Bush fundraisers left his presidential campaign Friday, amid questions about the strength of his candidacy. Wow!",neutral
"Three top Jeb Bush fundraisers abruptly parted ways with his presidential campaign on Friday, amid internal personality conflicts and",neutral
"It's hard to make the case that Jeb Bush is still the likely nominee. He's currently 5th in IA and 3rd in NH. Winners have to, you know, win",neutral
"Jeb Bush: ""If you create encryption, it makes it harder for the American government to do its job"" http://t.co/onKeBxVfrc",neutral
"@realDonaldTrump We need to terminate this horrible deal with Iran on the very 1st day in office, but JEB BUSH REFUSES! End of discussion ..",negative
Not Available,negative
"When Jeb Bush stepped up onto the fabled soapbox at the Iowa State Fair on Friday, fairgoers pelted him with questions about the legacy of",neutral
"Jeb Bush, continuing to hit back against Donald Trump, took some not-so-subtle digs Wednesday at the GOP front-runner's decision to let a",neutral
"Will Ted Cruz, Jeb Bush, and all the top ten who swore to support the GOP primary winner.....do it.   Looks like they may end with TRUMP! HA",negative
@PolitiBunny The ONE GOOD thing Trump may do in the LONG RUN is Take OUT Jeb Bush. Trump is targeting Jeb as his Main threat.,negative
"@realDonaldTrump @JebBush Jeb Bush dug himself a deep hole with his ""Act of Love"" comment.If he was +3% yesterday, he will be -3% tomorrow",negative
OMG A Trump supporter on #CNN just suggested that Jeb Bush may have low testosterone which is why he's low energy.,negative
"Jeb Bush is the victim of the 1st ""Willie Horton"" ad this cycle, &amp; it's by Trump http://t.co/MnYDyO601L Ironically, his dad made the 1st one",neutral
PPP Poll in NH evidence the disaster not nominating Trump could be for @GOP. Trump as an Independent beats Jeb Bush for 2nd - 28% to 22%,neutral
"Personality conflicts may have led to three top Jeb Bush fundraisers leaving the campaign, but they are still working with the former",neutral
Can we finally stop talking about Jeb Bush now? Ben Carson is polling at #2 and may pass Trump soon.,neutral
Jeb Bush is an utter failure Should drop out now as he is in 10th place,negative
"""Get them to write about policy,"" Jeb Bush says, pointing to reporters, when asked about higher-ed plan. ""They may break out in a rash""",neutral
"""I promise you that when you look at results on September 30 we'll be fine,"" Jeb Bush says of fundraising tumult",neutral
Time for the #media to begin asking Jeb Bush some tough questions. #law #GOP #media #journalism @bpolitics  https://t.co/EYz8pECjwd,neutral
@realDonaldTrump HAHAHA YES Donald I'm visiting trump tower this Sunday. I hope to see you!  Jeb Bush is a total joke as a candidate.,neutral
Martha to Jeb Bush: Do You Stand By the 'Act of Love' Statement? http://t.co/Ger8TxpNj2,neutral
"From January: Jeb Bush, and Two Myths About Shifting to the Right - http://t.co/bZztBULQMj",neutral
"Trump aiming his sharpest tweets at Jeb Bush. But with Ben Carson surging in 2nd place, is Trump missing the target? @SaraMurray has more.",neutral
What I don't get is why donors would fill Jeb Bush's coffers!  There is a frightening division in the Republican Party that may end in loss!,negative
John Kasich may is just Jeb Bush from the a different state. He's a mealy mouthed squish.  https://t.co/cDllS7Il9E,negative
Chicago (IL) Sun-Times: Jeb Bush gets personal with &amp;#039;germophobe&amp;#039; Donald Trump. More #Chicago #news - http://t.co/aIk1UkgJiO,neutral
"Donald Trump on Tuesday hit back at Jeb Bush's accusation that the billionaire businessman is not a true conservative, amid an",neutral
@AndreaTantaros  Jeb Bush appears to be afraid of something.  Probably the truth and Trump may be able to help him out.,negative
Donald Trump: Jeb Bush should be 'speaking English while in the United States': Donald Trump on Wednesday fire... http://t.co/8x9Io52qEE,neutral
"Iowa GOP poll results are here, in 3rd place Jeb Bush with 23%, in 2nd place Donald Trump with 34% and in 1st place is JOHN CENA",neutral
@dolan712 Jeb Bush in 7th place with 4%.. http://t.co/ebdxCcfyWR,neutral
Turns out that annointing Jeb Bush the default establishment candidate may have been premature? you don't say. http://t.co/XVeQXKX6Va,negative
c'mon. you GOTTA love this guy! @dailykos Donald Trump says Jeb Bush should 'set the example' by speaking English only,neutral
Tune-in to @GMA tomorrow. I'm sitting down with GOP presidential candidate Jeb Bush.,positive
@JebBush @HillaryClinton   http://t.co/6b4qRqeTYs  Jeb Bush says he has released all his emails from time as governor.,neutral
...and Jeb Bush is third in the polls and losing donors. Be fair and balance...@karlrove @FoxNews. https://t.co/Ka2km3bua6,neutral
"""Did Donald Trump propose the biggest tax hike in American history as Jeb Bush says?""  Ruling: True http://t.co/U2fw6XWIqD",neutral
"Donald Trump may criticize Jeb Bush all he wishes, but he isn't able to call Jeb Bush, nor his supporters, racist like the Donald is.",negative
"Jeb Bush may have got himself into a bit of a mess. The presidential candidate, who will appear on the first ... http://t.co/jeL8ky8CMC",negative
haha Jeb Bush is such a bore the guy in the background of this vid could totally not give a shit about this dirtbag. https://t.co/lQ57BgGTFg,negative
Nationally Jeb Bush slips back to single digits in the RCP average of polls. Carson clear 2nd to Trump: http://t.co/pfRWmy5SYb,neutral
Trump is leading 15 points in the polls but Kasich may prove to be a greater threat to Jeb Bush.... http://t.co/xY5Rx3VYCI,neutral
@marthamaccallum 2 hell with Jeb bush with Spanish speaking We dont tell Mexico 2 speak English And I'm half Hispanic! English 1st N the USA,negative
WASHINGTON (Reuters) - Jeb Bush said on Thursday he would back fellow Republican presidential hopeful Donald T... http://t.co/RtNErbQL59,positive
If Jeb Bush wins by some far chance the flood gate will be really opened and our 1st language will be spanish,negative
"Jeb Bush's new stance on Trump: Bring it on: For the second day in a row on Wednesday, the Bush campaign went ... http://t.co/lJXGqpd6EZ",neutral
Jeb Bush should speak English only as it encourages ESL /we should be honoring this country - not making it into a 3rd world one!,negative
"@ScottAdamsSays Jeb Bush, who hates Trump right now, just agreed to support Trump if he wins...to keep Trump from going 3rd party. ha!",neutral
Jeb Bush will unveil his tax plan in Garner on Wednesday. Claims it will create 19 mil new jobs. #ABC11Eyewitness #ncga #NCGOV,neutral
"It may seem a strange comparison, but Jeb Bush has a lot in common with Barack Obama. http://t.co/ZC8FQOWAkQ",neutral
Donald Trump took a jab Wednesday at Jeb Bush for using Spanish to dismiss the mogul's conservative credibility.,neutral
3$ to join raffle to see @StephenAtHome 1st Late Night show &amp; have SC ask Jeb Bush your question!  I'm in - are you?  http://t.co/jGTgeGBtqA,neutral
"@daveweigel Jeb Bush probably knows and he'd probably get us into a 3rd Iraq invasion.  Knows lots of little facts, learns nothing.",negative
@OANN 1/2  I can't believe I'm defending Jeb Bush but here goes... 1st: No official language here in the United States of America.,negative
"@billmon1 @HeerJeet @JamesEMajure ""and destroy Jeb Bush while I'm at it!"" Though these same priorities may be reversed for all I know.",negative
"@JebBush Time for the 2nd Roman Catholic President since JFK, Jeb Bush http://t.co/EC41fRWp3T",neutral
"@greta when you talk about Ben Carson please show him, not Jeb Bush like you did on your Thurs. Show.",negative
"Just minutes after Jeb Bush bashed Donald Trump in his stump speech on Thursday, Bush was questioned by a frustrated voter on what he",negative
Jeb Bush pretending he's a co front runner but he's in 4th place and Carly Fioriana bragging how she's in 2nd place in 2 states. Losers.,negative
@AvanhVan The one that shows Jeb Bush IN 11th Pl. yet talk about Jeb Bush every morning instead of the others ahead of him- OK ?,neutral
"Republican presidential hopeful Jeb Bush delivered parallel messages on Tuesday - one in Spanish, another in English - as he took a sharp",neutral
"@TheFive C'mon @Greggutfeld! If anybody needs your harsh advice , it would be your friend Jeb Bush! @donaldtrump does a heck of a lot better",negative
I just vaulted Jeb Bush up to 5th place in my rankings.,neutral
Hmu if you wanna go protest the Jeb bush rally on the 17th with me and adams,neutral
The force was not with him when Jeb Bush tried to get social on #ForceFriday  http://t.co/KzF5HxztVL #marketing #millennials,negative
Saving my hopes and jeb bush is a crush on someone says make the 2nd amendment is a guy.,neutral
"A day after taking steps to warm relations with Hispanics, Donald J. Trump may have taken a step backward when he suggested that Jeb Bush",negative
"Breaking from the ""11th commandment,"" Scott Walker targets Jeb Bush in a new video http://t.co/wIluGZKUUe http://t.co/qYfQ1qUBul",neutral
Jeb Bush attacking Donald Trump in Spanish seems like the 2nd act of a Greek tragedy where your efforts to avoid the prophecy make it happen,negative
"Former Florida Gov. Jeb Bush said Thursday that his chief opponent, front-runner Donald Trump, is ""trying to insult his way"" to the White",negative
Jeb Bush may have lots of cash and great political organization but don't compare him to Romney.  He doesn't have the moxie needed today!,negative
"@NPR Jeb Bush's 1st name is not ""Jeb."" It is John. Let's be accurate with news reporting.",neutral
"@Old_BaldFat_Guy @a3auntie All the Beverly Hillbilly Cast, Granny Hillary, Jeb bush, jethro boehner, eli may ?,  banker Barak.",negative
@RGentle8 No idea sorry! Just kno pundits say Trump will prob. lose popularity later as he has little policy. Poss Jeb Bush may get Rep Nom?,negative
@MicheleBachmann  Why no mention that Jeb Bush sat on the board of the fraudster's fake company? Nice try dumbass.,negative
"@JoeHNewYork @AnnCoulter Jeb BUSH thinks if he only uses 1st Name we won't think about ""Bushes"" Negative Name Recognition USE BUSH ALOT lol",neutral
ha ha ha... Jeb Bush said he didn't need the base to win and he was going to prove it. But single digit 4th place in NH may be result,negative
Jeb Bush fading from the presidential race and Hillary Clinton slowly dropping from the 30th mark in the presidential race.....  Obvious!,neutral
"Hey Jeb Bush, are these examples of acts of love also? Wake up dude, they want bring their craphole country to USA. https://t.co/gZkIfIs0xu",negative
@PolitiBunny Krugman may like Trump but Jeb Bush is still the Democrat party choice for Republican nominee.,neutral
"Jeb Bush releasing tax reform plan tomorrow, Trump will say it is stupid, Bush a moron. His plan: Make America great &amp; put on top again,",negative
Four Hard Questions to Ask About Jeb Bush's Tax Plan: Jeb Bush's tax plan is coming out Wednesday. Expect the usual soaring language ...,negative
Refusing to own a gun may cost Jeb Bush dearly: Crime is out of control in America. Bush going unarmed will ma... http://t.co/LVGL6Ce9XX,negative
"Pro-Hillary Clinton Correct the Record says Jeb Bush's 1st TV ad is ""built on a phony record,"" says econ claims built on housing bubble",neutral
Obama gives Joe Biden 'blessing' for 2016 bid &gt; If a second Clinton mail server turns up he may get the nomination? http://t.co/faO7MMWzzh,positive
@JonBanquer @albhere @MgriffinJames @PeoplesVuePoint Let's be honest. Joe Biden would win once he's in! He may even ask Warren to be R-Mate,neutral
Rachel Maddow re Bernie Sanders leading in NH in 2nd poll said Tell me again why Joe Biden? is the 1 that can challenge Hillary on the left?,neutral
C'mon Joe Biden. You really don't want to be President. Stop thinking with your ego and start thinking about the party and the people.,negative
Politico: Republicans Giddy Over Possible Biden Candidacy: Speculation that Vice President Joe Biden may make ... http://t.co/PXtGu6KTKY,positive
The continued attacks on the 2nd Amendment will continue if America is foolish enough to ever elect Joe Biden for POTUS (Obama's 3rd term).,negative
"Joe Biden for Presient? Really? He may be a nice guy, but the man is a buffoon.",negative
"Dear journalists, please quit with the Joe Biden stories &amp; speculation. He's not even our 3rd choice. Sincerely, Democrats everywhere.",negative
"Anyway,  peace! I support both Hillary and Bernie and will support Joe Biden should he run. He may indeed! https://t.co/lmy1ttqYgz",positive
Not Available,positive
"@JenniferShutt @politico @mkraju ""Bennet later dodged a question about the possibility of a Joe Biden run"", 4th down eh? UR all hypocrites!",negative
Biden gauging his 'emotional fuel': Vice President Joe Biden revealed to members of the Democratic National Committee Wednesday...  #news,neutral
"@lovetheusaorlea @Ainsmommy @jody_mc @NicoleT_E86 @HawaiianAngel10 ok, anyone believe Joe Biden may make a run at it?",neutral
"Vice President Joe Biden will ""meet with senior advisors"" tomorrow. WH did not provide a location.",neutral
TOP REASONS JOE BIDEN SHOULD RUN FOR PRESIDENT: Jimmy Fallon may invite him on his show to play something with ping-pong balls.,positive
Joe Biden will meet with Jewish Leaders in Miami re IranDeal on September 3. http://t.co/ZROCDVNyCQ,neutral
"Clinton backer Tom Harkin tells friend Joe Biden there are ways he can serve the country, but don't run a 3rd time.  http://t.co/IZbvSK0Gfs",neutral
"Vice President Joe Biden will meet with AFL-CIO Richard Trumka later Thursday, further fueling talk that he may... http://t.co/MyjexGaviL",neutral
"@Chinese_Surfer @CNNPolitics @OutFrontCNN 1st, Clinton is the worst debater. 2nd, have you ever heard Joe Biden open his mouth? Hes a clown!",negative
"Joe Biden will meet with AFL-CIO president, further fueling talk that he may enter the White House race. I predict a Labor Day announcement.",neutral
Joe Biden confirms he is deciding on whether to run for president | US news | The Guardian http://t.co/rXRBVxE6U2,neutral
"Joe Biden on why he may not run for president: ""my whole heart and my whole soul, both are pretty well banged up."" http://t.co/2Fb3jLBTah",neutral
Why Joe Biden May Be the Best Hope for Small Businesses http://t.co/XnwT2e3cth,positive
Happy Friday.  Here's Joe Biden being creepy with anime characters.  http://t.co/vjFcdjfsvB,neutral
"Hawkie here reminds us of Joe Biden, the randy old coot who may run for President! #Democrats a disgrace. #auspol https://t.co/Z0tFsrQPMY",neutral
"@Milbank doesn't think Vice President Joe Biden will run, Biden recognizes that he won't win - retiring as a sitting VP may be a better idea",neutral
My early presidential prediction: 1year from now we will be down to just 2...Joe Biden vs Marco Rubio. You heard it here 1st!,neutral
"Happy Friday: Here's Joe Biden making a cameo on a 1993 episode of ""Where in the World is Carmen Sandiego?"" http://t.co/SJMqRV5jCG",positive
Starting to hope Joe Biden enters the race. It may just be time for an alternative. A debate between Joe and Trump would be epic.,positive
"With Joe Biden, campaign 2016 fun about to begin http://t.co/t2FEgC9OWj via @WashTimes #Election2016",positive
"Los Angeles Times - Joe Biden may not be at big confab for Democrats, but he dominates the conversation http://t.co/vHJF2ZXOa7",neutral
Joe Biden obstacles in longshot run against Hill Clinton http://t.co/NQAHu1jR6I just remember why he was neva elected POTUS in the 1st place,neutral
WASHINGTON (Reuters) - U.S. Vice President Joe Biden will meet on Thursday with AFL-CIO President Richard Trumka as he explores whether to,neutral
"""Joe Biden may join Bernie Sanders in the Democrat primary... I thought the Democrats were opposed to fossil fools!"" ~ Emily Zanotti,",negative
"Take a good look at Bernie Saunders, he's giving Hillary a run for her money. Joe Biden may join the race. And they're off!",positive
"MINNEAPOLIS (Reuters) - Joe Biden got plenty of love from top Democrats on Friday, but their views about a pos... http://t.co/BSAo3tqBFh",neutral
Joe Biden or Donald Trump may be the next president of the United States. Just think about that for a little bit,neutral
"Published on Aug 24, 2015 Vice President Joe Biden met with Senator Elizabeth Warren to discuss his potential run... http://t.co/FPMqDhx3Vh",neutral
Why Joe Biden may well be a great candidate for SMBs--if he'll run of course: http://t.co/QfmmfiTLW1 @jeremyquittner,positive
"If Vice President Joe Biden decides to run for president, the most difficult task for him may come in cobbling... http://t.co/jGkf9ua84W",neutral
@JoeBiden Only with Progressive Liberal Love 1st people like Bernie Sanders &amp; Joe Biden can America stay steady Mature of Love Forward first,positive
Just heard that Jackets + Falcons + Joe Biden all doing things around 7pm on Thursday is gonna make traffic hellish!!!! Fun!!!!,neutral
"P2016: AFL-CIO Pres Dick Trumka to march with Joe Biden in Labor Day parade.""People can read into that...what they want. He's a good friend""",positive
The constant drip drip of Hilary's email scandal continues as Joe Biden waits in the wings Hilary's campaign days may indeed be numbered!,neutral
"By Jeff Mason WASHINGTON, Aug 28 (Reuters) - Backers of Vice President Joe Biden are reaching out to donors and activists in the gay and",neutral
Joe Biden appears on Late Show w/ Stephen Colbert Sept 10. Does he have something to announce? http://t.co/7hKLEtYsBt http://t.co/n2N0yxoTfe,neutral
"Welcome to the 305 Veep @wsvn: Joe Biden kicking off a two-day visit South Florida, Wednesday. http://t.co/35oFv1PNAM http://t.co/Ht9OC1x78n",neutral
I think Joe Biden will announce he's running for president on Colbert next Thursday.,positive
Joe Biden is headed to Atlanta tomorrow as speculation mounts about a presidential run. W/ @ajconwashington: http://t.co/dQElpYSkyM #gapol,neutral
"Vice President Joe Biden soaked up some sun in Florida, preparing to meet with fundraisers there as he stokes ... http://t.co/jZdR1xijaL",neutral
ALERT: Vice President Joe Biden will be speaking at the JCC tomorrow. ROAD BLOCKS And MAJOR traffic is expected... http://t.co/3LWAvcGd8d,neutral
"Vice President Joe Biden on Wednesday was scheduled for a Miami speech on the importance of community colleges,... http://t.co/oR21cexwzk",neutral
Political observers believe Joe Biden may soon announce a decision about a possible presidential run. #Decision2016 http://t.co/nyZYSTY4dV,neutral
Great piece on Joe Biden and all-important Florida. Wish I knew the folks in the condominiums he visits. #DraftBiden https://t.co/tOpV0DZbWt,positive
Not Available,neutral
"Triple Traffic Threat: #dragoncon.  Thursday @7:30, Falcons game, Georgia Tech game, and Joe Biden   on the downtown connector.",negative
"I mean, the rumor is that Joe Biden may run. Joe Biden.",negative
Joe Biden wants to sit in on the hearings to watch Hillary's IT patsy take the 5th. https://t.co/tMomTOfyyM,negative
Joe Biden is not going to run for President.  He may even resign as Vice President before term ends.,negative
"You know, what if Joe Biden runs for president with Obama as his Vice then steps down so Obama is president for a 3rd term?",positive
"GA Tech Game, Falcons Game, Joe Biden in town, Dragon Con, Labor Day Traffic, Rain Traffic..I may just stay the night where im at fuck it.",negative
Fighting corruption is not just good governance. It's self-defense. It's patriotism. - Joe Biden  Good Morning. Have a blessfull Friday!,positive
"Oh I get it, Joe Biden was here or something. That may explain the incredible traffic.  Or that may honestly just be Atlanta",negative
"Biden on 2016 run: ""I just don't know"": Vice President Joe Biden made his first public comment Thursday about ... http://t.co/j3nc0lFXqF",neutral
Biden: Not Sure I Have 'Emotional Energy' for 2016 Run Vice President Joe Biden said on Thursday he is trying to... http://t.co/VJ8ksRLQDn,neutral
@CBCNews Joe Biden is a class act when it comes to frank talk. I hope he runs. But he may not.  Excellent job as V.P.,positive
Can`t say yet whether he will mount White House run: Joe Biden: US Vice President Joe Biden said on Thursday h... http://t.co/T1cgb3Urdf,neutral
"Biden Says Family Will Decide Whether He Runs for President: Vice President Joe Biden said Thursday night he ""... http://t.co/UAQmUomDR2",positive
#Fox Biden says he's not sure if he will seek presidency: Vice President Joe Biden said Thursday he was unsure... http://t.co/OpuMdKIoUN,positive
Biden says he'll run if he has the 'emotional energy' #: Vice President Joe Biden said Thursday that the bigge... http://t.co/bcJUXfvaNQ,positive
